Name,Artist,Album,Popularity,Lyrics
A Whiter Shade Of Pale,Procol Harum,A Whiter Shade Of Pale,0,"38 ContributorsA Whiter Shade of Pale Lyrics[Intro]  [Verse 1] We skipped the light fandango Turned cartwheels 'cross the floor I was feeling kinda seasick But the crowd called out for more The room was humming harder As the ceiling flew away When we called out for another drink The waiter brought a tray  [Chorus] And so it was that later As the miller told his tale That her face, at first just ghostly Turned a whiter shade of pale  [Bridge 1]  [Verse 2] She said, there is no reason And the truth is plain to see But I wandered through my playing cards And would not let her be One of sixteen vestal virgins Who were leaving for the coast And although my eyes were open They might have just as well've been closed You might also like[Chorus] And so it was that later As the miller told his tale That her face at first just ghostly Turned a whiter shade of pale  [Bridge 2]  [Additional Verse] She said, 'I'm home on shore leave,' Though in truth we were at sea So I took her by the looking glass And forced her to agree Saying, 'You must be the mermaid Who took Neptune for a ride.' But she smiled at me so sadly That my anger straightway died  [Chorus] And so it was that later As the miller told his tale That her face at first just ghostly Turned a whiter shade of pale [Verse 4] If music be the food of love Then laughter is its queen And likewise if behind is in front Then dirt in truth is clean My mouth by then like cardboard Seemed to slip straight through my head So we crash-dived straightway quickly And attacked the ocean bed [Chorus] And so it was that later As the miller told his tale That her face at first just ghostly Turned a whiter shade of pale16Embed"
My Sweet Lord,George Harrison,All Things Must Pass (Remastered),0,"58 ContributorsMy Sweet Lord Lyrics[Chorus] My sweet Lord Mmm, my Lord Mmm, my Lord  [Verse 1] I really wanna see you Really wanna be with you Really wanna see you, Lord But it takes so long, my Lord  [Chorus] My sweet Lord Mmm, my Lord Mmm, my Lord  [Verse 2] I really wanna know you I'd really wanna go with you I really wanna show you, Lord That it won't take long, my Lord  [Chorus] (Hallelujah) My sweet Lord (Hallelujah) Mmm, my Lord (Hallelujah) My sweet Lord (Hallelujah) You might also like[Verse 3] I really wanna see you Really wanna see you Really wanna see you, Lord Really wanna see you, Lord But it takes so long, my Lord  [Chorus] (Hallelujah) My sweet Lord (Hallelujah) Mmm, my Lord (Hallelujah) My, my, my Lord (Hallelujah)  [Verse 4] I really wanna know you (Hallelujah) Really wanna go with you (Hallelujah) I really wanna show you, Lord That it won't take long, my Lord  [Chorus] (Hallelujah) Mmmmm (Hallelujah) My sweet Lord (Hallelujah) My, my Lord (Hallelujah)  [Guitar Solo] [Chorus] Mmm, my Lord (Hare Krishna) My, my, my Lord (Hare Krishna) Oh, oh, my sweet Lord (Krishna Krishna) Ooh (Hare Hare)  [Verse 5] Now, I really wanna see you (Hare Rama) Really wanna be with you (Hare Rama) Really wanna see you, Lord But it takes so long, my Lord  [Chorus] (Hallelujah) Mmm, my Lord (Hallelujah) My, my, my Lord (Hare Krishna) My, my sweet Lord (Hare Krishna)  [Post-Chorus] My sweet Lord (Krishna Krishna) Ah, oh, my Lord (Hare Hare) Mmmmm (Gurur Brahma) Mmmmm (Gurur Vishnu) Mmmmm (Gurur Devo) Mmmmm (Maheshwara) My sweet Lord (Gurur Sakshaat) My sweet Lord (Para Brahma) My, my, my Lord (Tasmayi Shree) My, my, my, my Lord (Guruve Namah) My, my sweet Lord (Hare Rama) [Outro] (Hare Krishna) My sweet Lord (Hare Krishna) My, my sweet Lord (Krishna Krishna) My, my sweet Lord (Hare Hare)23Embed"
Bridge Over Troubled Water,Simon & Garfunkel,Bridge Over Troubled Water,72,"57 ContributorsBridge Over Troubled Water Lyrics[Verse 1] When you're weary Feeling small When tears are in your eyes I will dry them all I'm on your side Oh, when times get rough And friends just can't be found  [Chorus] Like a bridge over troubled water I will lay me down Like a bridge over troubled water I will lay me down  [Verse 2] When you're down and out When you're on the street When evening falls so hard I will comfort you I'll take your part Oh, when darkness comes And pain is all around  [Chorus] Like a bridge over troubled water I will lay me down Like a bridge over troubled water I will lay me down You might also like[Verse 3] Sail on silver girl Sail on by Your time has come to shine All your dreams are on their way See how they shine Oh, if you need a friend I'm sailing right behind  [Chorus] Like a bridge over troubled water I will ease your mind Like a bridge over troubled water I will ease your mind24Embed"
All Along the Watchtower,Jimi Hendrix,Electric Ladyland,77,"107 ContributorsAll Along the Watchtower Lyrics[Verse 1] ""There must be some kind of way out of here"" Said the joker to the thief ""There's too much confusion I can't get no relief Businessmen they drink my wine Plowmen dig my earth None will level on the line Nobody offered his word"" Hey!  [Verse 2] ""No reason to get excited"" The thief, he kindly spoke ""There are many here among us Who feel that life is but a joke But, uh, but you and I, we've been through that And this is not our fate So let us stop talkin' falsely now The hour's getting late Hey!  [Guitar Solo]  Hey! You might also like[Verse 3] All along the watchtower Princes kept the view While all the women came and went Barefoot servants too Well, uh, outside in the cold distance A wildcat did growl Two riders were approaching And the wind began to howl Hey!  [Outro] All along the watchtower All along the watchtower71Embed"
In the Ghetto,Elvis Presley,Elvis 30 #1 Hits,52,"30 ContributorsIn the Ghetto Lyrics[Verse 1] As the snow flies On a cold and gray Chicago mornin' A poor little baby child is born In the ghetto (In the ghetto) And his mama cries 'Cause if there's one thing that she don't need It's another hungry mouth to feed In the ghetto (In the ghetto)  [Bridge] People, don't you understand A child needs a helping hand Or he'll grow to be an angry young man some day Take a look at you and me Are we too blind to see Do we simply turn our heads And look the other way?  [Verse 2] Well, the world turns And a hungry little boy with a runny nose Plays in the street as the cold wind blows In the ghetto (In the ghetto) And his hunger burns So he starts to roam the streets at night And he learns how to steal and he learns how to fight In the ghetto (In the ghetto) You might also like[Bridge] Then one night in desperation The young man breaks away He buys a gun, he steals a car Tries to run, but he don't get far  [Verse 3] And his mama cries As a crowd gathers 'round an angry young man Facedown on the street with a gun in his hand In the ghetto (In the ghetto) And as her young man dies (In the ghetto) On a cold and gray Chicago mornin' Another little baby child is born In the ghetto (In the ghetto)  [Outro] And his mama cries In the ghetto (In the ghetto) (In the ghetto)6Embed"
Alive,Pearl Jam,Ten,77,"59 ContributorsAlive Lyrics[Verse 1] ""Son,"" she said, ""have I got a little story for you What you thought was your daddy was nothing but a... While you were sittin' home alone at age thirteen Your real daddy was dyin' Sorry you didn't see him, but I'm glad we talked"" [Chorus] Oh, I, oh I'm still alive Hey, I, oh I'm still alive Hey, I, oh I'm still alive Hey, oh  [Verse 2] While she walks slowly across a young man's room She said, ""I'm ready for you"" Why, I can't remember anything to this very day 'Cept the look, the look Oh, you know where, now I can't see, I just stare [Chorus] I, I'm still alive Hey, I, oh, I'm still alive Hey, I, oh, I'm still alive Hey, I, oh, I'm still alive, yeah You might also like[Break] Ooh yeah, yeah, yeah, yeah, oh, ooh  [Bridge] ""There's something wrong"", she said, well of course there is ""You're still alive,"" she said, oh, and do I deserve to be? Is that the question? And if so, if so who answers? Who answers? [Chorus] I, oh I'm still alive Hey, I, oh I'm still alive Yeah, I, oh I'm still alive Yeah, I, ooh, I'm still alive! Yeah yeah yeah yeah yeah yeah yeah! [Guitar Solo] Ooh yeah, ooh ooh Ooh yeah, yeah yeah yeah29Embed"
Paranoid,Black Sabbath,Paranoid (2009 Remastered Version),82,"98 ContributorsTranslationsFrançaisParanoid Lyrics[Intro]  [Verse 1] Finished with my woman 'Cause she couldn't help me with my mind People think I'm insane Because I am frowning all the time  [Verse 2] All day long I think of things But nothing seems to satisfy Think I'll lose my mind If I don't find something to pacify  [Bridge] Can you help me Occupy my brain? Oh yeah  [Verse 3] I need someone to show me The things in life that I can't find I can't see the things that make true happiness I must be blind  [Guitar Solo] You might also like[Verse 4] Make a joke and I will sigh And you will laugh and I will cry Happiness I cannot feel And love to me is so unreal  [Verse 5] And so, as you hear these words Telling you now of my state I tell you to enjoy life I wish I could but it's too late52Embed"
I Heard It Through The Grapevine,Marvin Gaye,I Heard It Through The Grapevine / In The Groove (Stereo),1,"38 ContributorsI Heard It Through the Grapevine Lyrics[Verse 1] Ooh-ooh, I bet you're wondering how I knew 'Bout your plans to make me blue With some other guy you knew before Between the two of us guys You know I love you more It took me by surprise, I must say When I found out yesterday Don't you know that  [Chorus] I heard it through the grapevine Not much longer would you be mine Oh, I heard it through the grapevine Oh, I'm just about to lose my mind Honey, honey, yeah (Heard it through the grapevine, not much longer would you be my baby)  [Verse 2] I know a man ain't supposed to cry But these tears, I can't hold inside Losing you would end my life, you see 'Cause you mean that much to me You could have told me yourself That you love someone else Instead You might also like[Chorus] I heard it through the grapevine Not much longer would you be mine Oh, I heard it through the grapevine And I'm just about to lose my mind Honey, honey, yeah (Heard it through the grapevine, not much longer would you be my baby)  [Verse 3] People say believe half of what you see Son, and none of what you hear But I can't help being confused If it's true please tell me, dear Do you plan to let me go For the other guy you loved before? Don't you know  [Chorus] I heard it through the grapevine Not much longer would you be mine, baby I heard it through the grapevine Ooh, I'm just about to lose my mind Honey, honey, yeah (Heard it through the grapevine, not much longer would you be my baby)  [Outro] (Yeah, yeah, yeah) Honey, honey, I know (Heard it through the grapevine, not much longer would you be my baby) That you're letting me go (Yeah, yeah, yeah) Said I heard it through the grapevine (Heard it through the grapevine, not much longer would you be my baby) Ooh, heard it through the grapevine (Yeah, yeah, yeah)8Embed"
Smells Like Teen Spirit,Nirvana,Nevermind (Deluxe Edition),7,"294 ContributorsTranslationsРусскийTürkçeEspañolPortuguêsItalianoHebrewFrançaisSmells Like Teen Spirit Lyrics[Verse 1] Load up on guns, bring your friends It's fun to lose and to pretend She's over-bored and self-assured Oh no, I know a dirty word  [Pre-Chorus] Hello, hello, hello, how low Hello, hello, hello, how low Hello, hello, hello, how low Hello, hello, hello  [Chorus] With the lights out, it's less dangerous Here we are now, entertain us I feel stupid and contagious Here we are now, entertain us A mulatto, an albino A mosquito, my libido  [Post-Chorus] Yeah, hey, yay  [Verse 2] I'm worse at what I do best And for this gift, I feel blessed Our little group has always been And always will until the end You might also like[Pre-Chorus] Hello, hello, hello, how low Hello, hello, hello, how low Hello, hello, hello, how low Hello, hello, hello  [Chorus] With the lights out, it's less dangerous Here we are now, entertain us I feel stupid and contagious Here we are now, entertain us A mulatto, an albino A mosquito, my libido  [Post-Chorus] Yeah, hey, yay  [Guitar Solo]  [Verse 3] And I forget just why I taste Oh yeah, I guess it makes me smile I found it hard, it's hard to find Oh well, whatever, never mind  [Pre-Chorus] Hello, hello, hello, how low Hello, hello, hello, how low Hello, hello, hello, how low Hello, hello, hello [Chorus] With the lights out, it's less dangerous Here we are now, entertain us I feel stupid and contagious Here we are now, entertain us A mulatto, an albino A mosquito, my libido  [Outro] A denial, a denial A denial, a denial A denial, a denial A denial, a denial A denial411Embed"
Tears in Heaven,Eric Clapton,Clapton Chronicles: The Best of Eric Clapton,5,"68 ContributorsTears in Heaven Lyrics[Verse 1] Would you know my name if I saw you in heaven? Would it be the same if I saw you in heaven?  [Chorus] I must be strong and carry on ‘Cause I know I don't belong here in heaven  [Verse 2] Would you hold my hand if I saw you in heaven? Would you help me stand if I saw you in heaven?  [Chorus] I'll find my way through night and day ‘Cause I know I just can't stay here in heaven  [Bridge] Time can bring you down, time can bend your knees Time can break your heart, have you begging please Begging please  [Instrumental Break 02:34-02:57] [Guitar Solo]  [Chorus] Beyond the door, there's peace, I'm sure And I know there'll be no more tears in heaven You might also like[Verse 3] Would you know my name if I saw you in heaven? Would you be the same if I saw you in heaven?  [Chorus/Outro] I must be strong and carry on 'Cause I know I don't belong here in heaven32Embed"
